total_area,rooms,floors_total,living_area,floor,studio,open_plan,kitchen_area,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,ponds_around3000,log_price
36.0,1,18.0,17.3,1,,,8.6,Санкт-Петербург,45596.0,14296.0,1.0,0.0,15.341567078850604
55.3,2,8.0,31.0,2,,,10.0,Санкт-Петербург,20691.0,3431.0,3.0,1.0,15.90613941264406
58.0,2,12.0,35.0,6,,,,Санкт-Петербург,32746.0,13845.0,0.0,1.0,15.775605482856605
18.0,1,5.0,13.0,4,,,3.0,Тихвин,,,,,13.554147092530322
104.3,3,3.0,56.4,3,,,14.7,Санкт-Петербург,24077.0,3619.0,0.0,0.0,15.931766193248746
54.0,2,9.0,30.1,9,,,8.3,Всеволожск,,,,,14.978661680269907
44.0,2,9.0,,1,,,6.8,Санкт-Петербург,16032.0,13002.0,1.0,0.0,15.671808704579888
52.0,2,9.0,30.0,6,,,9.0,Санкт-Петербург,12444.0,15035.0,0.0,1.0,15.424748650435696
68.6,3,10.0,45.2,7,,,8.4,Санкт-Петербург,13849.0,16357.0,0.0,1.0,15.656060350091908
31.0,1,5.0,18.0,1,,,6.0,Санкт-Петербург,39638.0,8898.0,0.0,1.0,14.88022163978423
89.7,2,7.0,33.7,6,,,35.6,Санкт-Петербург,28008.0,6855.0,2.0,2.0,16.298749234124028
55.8,1,16.0,16.6,8,,,29.1,Санкт-Петербург,33592.0,14691.0,0.0,2.0,15.803385043104912
42.0,3,5.0,,3,,,,Санкт-Петербург,15600.0,14397.0,1.0,2.0,15.068273812173887
45.5,2,5.0,28.2,4,,,6.4,Санкт-Петербург,27271.0,8250.0,0.0,0.0,15.29711532616119
108.0,3,17.0,39.0,5,,,36.0,Санкт-Петербург,14741.0,12665.0,0.0,0.0,16.29958361040653
43.0,2,5.0,29.0,3,,,5.0,Ломоносов,48558.0,51982.0,0.0,1.0,14.99416586199818
38.2,1,4.0,18.11,2,,,8.4,посёлок Поляны,,,,,14.214287349062356
35.0,1,14.0,17.0,2,,,10.2,Санкт-Петербург,12782.0,12290.0,2.0,1.0,15.363073279446223
42.0,2,5.0,28.0,2,,,5.9,Санкт-Петербург,40965.0,12668.0,2.0,0.0,15.20155513789144
50.0,4,5.0,38.0,1,,,5.4,Санкт-Петербург,12682.0,13226.0,0.0,0.0,15.068273812173887
41.0,1,16.0,15.6,16,,,10.2,Санкт-Петербург,35996.0,12099.0,2.0,2.0,15.520258832020865
51.0,2,7.0,30.0,1,,,9.0,Санкт-Петербург,15425.0,7475.0,0.0,0.0,15.64006001130563
32.0,1,12.0,16.08,7,,,,городской посёлок Янино-1,,,,,14.984273403298733
81.0,3,6.0,40.0,5,,,21.0,Санкт-Петербург,26090.0,4805.0,0.0,1.0,16.14765455028724
32.15,1,3.0,17.5,3,,,7.3,Коммунар,,,,,14.430696737594902
50.3,2,9.0,,8,,,6.9,Санкт-Петербург,29338.0,11270.0,1.0,0.0,15.274125813221904
59.0,3,4.0,36.0,2,,,8.4,Санкт-Петербург,28030.0,6877.0,0.0,1.0,15.473738825043979
35.4,1,5.0,13.1,5,,,11.0,Санкт-Петербург,47039.0,25599.0,1.0,1.0,14.94368197249847
54.7,3,5.0,38.5,5,,,5.2,Санкт-Петербург,36915.0,9110.0,2.0,1.0,15.326232718209745
76.0,2,15.0,33.9,11,,,11.6,Санкт-Петербург,13793.0,12526.0,0.0,0.0,16.04552506565036
44.0,2,9.0,27.0,7,,,6.3,Санкт-Петербург,51917.0,16518.0,0.0,1.0,15.11023799953124
67.0,2,27.0,32.3,23,,,12.0,посёлок Шушары,11445.0,17231.0,0.0,0.0,15.330638010707329
181.0,4,8.0,100.23,4,,,15.62,Санкт-Петербург,27124.0,7463.0,3.0,2.0,17.840321477509036
23.6,1,25.0,17.7,23,,,,деревня Кудрово,,,,,14.557448378884015
100.0,3,5.0,,2,,,,Санкт-Петербург,34319.0,12067.0,0.0,0.0,16.454567959008102
31.9,1,5.0,17.5,4,,,6.0,посёлок городского типа Кузнечное,,,,,13.675099554994853
105.5,3,7.0,75.1,7,,,9.1,Санкт-Петербург,24705.0,5321.0,2.0,0.0,16.630919337267223
55.6,2,12.0,35.4,10,,,7.2,Санкт-Петербург,7900.0,13142.0,1.0,0.0,15.481328992870381
81.0,3,7.0,53.0,6,,,8.0,Санкт-Петербург,29034.0,7736.0,2.0,0.0,16.066802461833923
33.3,1,23.0,15.4,22,,,9.0,,22041.0,17369.0,0.0,1.0,14.97113813911985
38.5,1,7.0,19.0,6,,,8.5,поселок городского типа Кузьмоловский,,,,,14.845130332288226
30.82,1,18.0,14.71,8,,,8.7,посёлок Мурино,,,,,15.009433329466965
55.0,2,4.0,33.8,2,,,9.3,Пушкин,20040.0,30561.0,0.0,0.0,15.414898336565054
56.6,1,7.0,13.3,2,,,30.5,Санкт-Петербург,33052.0,6555.0,0.0,3.0,16.36104190800008
49.0,4,5.0,38.0,4,,,5.5,Санкт-Петербург,11046.0,12150.0,0.0,1.0,15.308414878861498
46.0,2,5.0,29.7,2,,,6.5,Санкт-Петербург,22346.0,15075.0,0.0,0.0,15.226497775576945
52.4,2,12.0,34.0,6,,,9.0,Санкт-Петербург,33221.0,12881.0,0.0,0.0,15.623799493077952
60.0,2,3.0,32.4,2,,,7.6,Санкт-Петербург,36790.0,8729.0,1.0,3.0,15.717319681634574
64.8,2,13.0,27.9,7,,,14.8,Санкт-Петербург,51443.0,13370.0,1.0,0.0,15.970755178934459
38.13,1,11.0,17.7,6,,,8.0,Санкт-Петербург,32079.0,5038.0,0.0,3.0,15.414898336565054
42.0,1,11.0,18.0,3,,,10.0,Санкт-Петербург,24252.0,5879.0,1.0,2.0,15.46416937585933
66.0,2,6.0,32.0,3,,,12.0,посёлок Шушары,17901.0,30593.0,0.0,0.0,15.35237799261728
85.0,3,11.0,43.0,6,,,17.0,Санкт-Петербург,23363.0,5853.0,0.0,2.0,16.17542081200629
43.6,2,5.0,27.3,1,,,5.0,Гатчина,,,,,14.819812533461441
47.0,1,25.0,29.0,3,,,10.0,Санкт-Петербург,36421.0,9176.0,1.0,0.0,15.714628695213417
75.0,3,7.0,51.0,1,,,9.5,Санкт-Петербург,27059.0,5761.0,1.0,1.0,15.717618233614914
59.0,2,6.0,33.0,4,,,10.0,Санкт-Петербург,34404.0,14727.0,1.0,2.0,15.656060350091908
80.3,2,5.0,41.1,1,,,13.6,Санкт-Петербург,36779.0,14931.0,0.0,0.0,16.266515742283485
53.0,2,22.0,,15,,,,деревня Кудрово,,,,,15.173919972664004
34.0,1,23.0,,18,,,,посёлок Мурино,,,,,14.430696737594902
54.3,2,13.0,22.5,9,,,15.1,Санкт-Петербург,34794.0,12863.0,1.0,1.0,15.59046307836746
79.4,3,8.0,47.4,6,,,14.0,Тосно,,,,,15.444751293772967
34.0,1,23.0,15.5,22,,,9.7,Санкт-Петербург,21793.0,17121.0,0.0,1.0,14.92052265741988
43.0,2,5.0,27.0,1,,,6.0,Санкт-Петербург,29645.0,5246.0,0.0,1.0,15.201805169084134
44.0,2,5.0,28.7,5,,,6.5,Санкт-Петербург,10899.0,10280.0,0.0,0.0,15.224055772517731
44.8,2,4.0,28.0,4,,,8.0,городской посёлок Лесогорский,,,,,13.864301674514206
51.7,2,9.0,,3,,,,Санкт-Петербург,51309.0,13382.0,2.0,0.0,15.83028036963463
36.0,1,5.0,17.5,2,,,8.6,посёлок Усть-Луга,,,,,14.580978865220017
35.8,1,5.0,17.5,4,,,9.0,Приозерск,,,,,14.346139397261565
40.5,1,16.0,,13,,,,посёлок Мурино,,,,,15.024471202308668
43.1,2,4.0,30.0,2,,,6.0,Гатчина,,,,,15.009433329466965
86.3,3,3.0,55.5,1,,,9.2,Санкт-Петербург,24492.0,5060.0,1.0,1.0,15.925723879522977
57.0,3,9.0,38.8,7,,,6.1,Санкт-Петербург,35547.0,11578.0,0.0,1.0,15.754252361425857
48.0,2,9.0,28.0,8,,,8.0,Тихвин,,,,,14.419827071265543
47.0,1,6.0,22.0,1,,,11.1,Санкт-Петербург,28129.0,7068.0,1.0,1.0,15.38412668421143
43.2,1,25.0,19.2,10,,,11.4,Санкт-Петербург,44382.0,16921.0,0.0,0.0,15.483217567201578
146.8,4,20.0,,3,,,34.78,Санкт-Петербург,39048.0,8915.0,2.0,3.0,16.76436089801805
38.7,1,9.0,20.2,5,,,9.5,Санкт-Петербург,33546.0,12474.0,1.0,2.0,15.0824584431417
45.0,2,5.0,29.9,5,,,6.4,Санкт-Петербург,44692.0,14272.0,2.0,0.0,15.226497775576945
57.0,3,3.0,35.2,2,,,6.1,поселок городского типа Дубровка,,,,,15.009433329466965
35.29,1,13.0,14.02,13,,,7.85,Санкт-Петербург,35966.0,11487.0,0.0,3.0,15.444751293772967
106.3,1,10.0,,3,,,,Санкт-Петербург,25279.0,4073.0,0.0,0.0,16.426006803879847
62.6,3,5.0,44.8,3,,,5.4,посёлок городского типа Лебяжье,,,,,14.80876270134486
23.8,0,11.0,18.8,10,,,,Отрадное,,,,,14.731801689838349
45.0,2,4.0,28.0,2,,,6.5,посёлок Аннино,,,,,14.767168819776032
155.0,3,21.0,105.0,21,,,20.0,Санкт-Петербург,13275.0,12071.0,0.0,0.0,16.372737946851277
87.0,3,21.0,,11,,,,Санкт-Петербург,10552.0,13063.0,0.0,0.0,16.300417291085605
51.0,2,9.0,31.7,2,,,7.6,Санкт-Петербург,33123.0,11433.0,0.0,0.0,15.096444681204078
35.2,1,27.0,16.3,16,,,10.0,посёлок Парголово,52768.0,17994.0,0.0,0.0,15.226497775576945
125.0,4,6.0,95.0,3,,,8.0,Санкт-Петербург,20851.0,658.0,0.0,2.0,15.955576839107596
89.0,3,5.0,63.9,2,,,9.2,Санкт-Петербург,36488.0,9283.0,0.0,1.0,15.990262393084793
48.0,2,9.0,,9,,,,Санкт-Петербург,51149.0,16477.0,0.0,0.0,15.219153803118994
47.4,1,5.0,18.2,4,,,11.4,посёлок Металлострой,25873.0,27585.0,0.0,0.0,15.226497775576945
49.0,1,4.0,21.0,3,,,13.6,Санкт-Петербург,44870.0,20802.0,0.0,1.0,15.382458627458536
33.6,1,15.0,14.5,6,,,7.9,Санкт-Петербург,13000.0,15592.0,0.0,0.0,15.274125813221904
36.1,1,12.0,21.3,6,,,6.7,Санкт-Петербург,17164.0,12803.0,0.0,0.0,15.176487367510099
46.6,2,5.0,31.2,4,,,6.5,Санкт-Петербург,35363.0,10486.0,0.0,0.0,15.096444681204078
31.0,1,5.0,17.0,2,,,6.0,Выборг,,,,,14.580978865220017
47.0,1,9.0,22.0,2,,,10.0,Ломоносов,48440.0,51865.0,0.0,0.0,15.18922639004183
48.0,2,4.0,22.0,1,,,,Сертолово,,,,,14.978661680269907
73.9,2,25.0,39.9,22,,,15.2,Санкт-Петербург,36575.0,12097.0,1.0,1.0,16.213405921671733
58.7,2,10.0,27.2,6,,,13.3,Сертолово,,,,,15.18922639004183
72.0,2,10.0,,10,,,,Санкт-Петербург,34033.0,4768.0,1.0,2.0,16.204273438942487
68.7,2,17.0,34.6,12,,,14.2,Санкт-Петербург,32796.0,11871.0,1.0,0.0,15.555976908243359
80.0,3,16.0,,9,,,,Санкт-Петербург,34477.0,12811.0,0.0,0.0,15.702580358511794
58.7,2,5.0,36.0,4,,,11.0,поселок городского типа Рощино,,,,,15.150511887854474
40.4,1,17.0,20.2,14,,,10.7,Санкт-Петербург,34273.0,15372.0,1.0,3.0,15.500983342031168
46.4,2,4.0,27.4,4,,,8.4,Санкт-Петербург,26442.0,5290.0,0.0,1.0,15.285686632949897
83.0,3,5.0,56.0,2,,,11.0,Санкт-Петербург,20810.0,4755.0,1.0,3.0,15.623799493077952
66.0,3,9.0,46.0,8,,,6.5,Ломоносов,46894.0,50319.0,0.0,1.0,15.121137287019383
34.4,1,6.0,14.9,3,,,11.0,посёлок Шушары,18349.0,29601.0,0.0,0.0,15.024471202308668
39.3,1,14.0,14.9,4,,,10.2,Санкт-Петербург,19559.0,4768.0,0.0,1.0,15.66207397701147
65.8,2,10.0,31.6,10,,,14.4,Санкт-Петербург,30630.0,4006.0,1.0,3.0,16.057283617831484
63.4,2,16.0,32.5,7,,,,Санкт-Петербург,39474.0,12650.0,1.0,0.0,16.33312646281364
91.4,3,17.0,51.3,7,,,12.4,Санкт-Петербург,37434.0,8460.0,1.0,2.0,16.066802461833923
73.9,4,14.0,46.5,11,,,8.3,Санкт-Петербург,13758.0,11885.0,0.0,0.0,15.687312888712007
41.0,1,15.0,19.0,7,,,8.7,Санкт-Петербург,27666.0,9479.0,1.0,0.0,15.226497775576945
87.0,3,24.0,47.8,15,,,12.4,Санкт-Петербург,43996.0,13576.0,1.0,0.0,16.380459992348886
52.0,2,12.0,33.0,7,,,7.5,Санкт-Петербург,20713.0,6031.0,1.0,2.0,15.60393129315088
77.0,3,18.0,39.8,13,,,15.0,деревня Кудрово,,,,,15.687312888712007
42.1,1,16.0,15.9,8,,,9.0,Санкт-Петербург,15674.0,15582.0,0.0,1.0,15.404745967162468
94.0,2,5.0,30.6,5,,,21.0,Санкт-Петербург,36348.0,16650.0,0.0,0.0,16.056220353623207
45.0,2,5.0,30.3,4,,,7.0,Санкт-Петербург,15187.0,13727.0,1.0,0.0,15.330638010707329
60.0,2,10.0,34.0,4,,,11.0,Санкт-Петербург,51663.0,16965.0,0.0,0.0,15.520258832020865
76.0,3,4.0,55.2,4,,,8.8,Санкт-Петербург,25934.0,6501.0,1.0,0.0,16.52356082573315
41.0,1,9.0,20.3,6,,,9.3,Санкт-Петербург,29035.0,6407.0,1.0,0.0,15.380996791855585
39.0,1,12.0,20.0,8,,,8.0,Санкт-Петербург,35449.0,15751.0,1.0,3.0,15.123843647884687
45.8,2,9.0,28.6,9,,,7.0,Санкт-Петербург,31476.0,12635.0,0.0,0.0,15.18922639004183
45.3,2,5.0,33.0,4,,,6.0,Сясьстрой,,,,,14.24729362374025
